Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity
HT-2 toxin-3-glucose,EFSA CONTAM,2017,2908,Human health,subchronic,Rat,oral: feed,90,RPF,=,1,dimensionless,haematology,hemopoietic
HT-2 toxin-3-glucuronic acid,EFSA CONTAM,2017,2908,Human health,subchronic,Rat,oral: feed,90,RPF,=,1,dimensionless,haematology,hemopoietic
HT-2 toxin-4-glucuronic acid,EFSA CONTAM,2017,2908,Human health,subchronic,Rat,oral: feed,90,RPF,=,1,dimensionless,haematology,hemopoietic
HT-2 toxin-diglucose,EFSA CONTAM,2017,2908,Human health,subchronic,Rat,oral: feed,90,RPF,=,1,dimensionless,haematology,hemopoietic
HT-2 toxin-malonylglucose,EFSA CONTAM,2017,2908,Human health,subchronic,Rat,oral: feed,90,RPF,=,1,dimensionless,haematology,hemopoietic
Halauxifen-methyl,EFSA,2014,2751,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,>,2250,mg/kg bw,mortality,systemic
Halauxifen-methyl,EFSA,2014,2751,Animal (non-target species) health,acute toxicity,Rat,Not reported,,LD50,>,5000,mg/kg bw,mortality,systemic
Halauxifen-methyl,EFSA,2014,2751,Animal (non-target species) health,acute toxicity,Zebra finch,oral: unspecified,,LD50,>,2250,mg/kg bw,mortality,systemic
Halauxifen-methyl,EFSA,2014,2751,Animal (non-target species) health,reproduction toxicity,Bobwhite quail,Not reported,,NOAEL,=,36.9,mg/kg bw/day,reproduction,reproductive
Halauxifen-methyl,EFSA,2014,2751,Animal (non-target species) health,reproduction toxicity,Mallard duck,Not reported,,NOAEL,=,160.5,mg/kg bw/day,reproduction,reproductive
Halauxifen-methyl,EFSA,2014,2751,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,,LD50,>,1328,mg/kg bw/day,mortality,systemic
Halauxifen-methyl,EFSA,2014,2751,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LD50,>,2088,mg/kg bw/day,mortality,systemic
Halauxifen-methyl,EFSA,2014,2751,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,,LD50,>,98.1,µg/piece,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,,LD50,>,108,µg/piece,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,14,LC50,>,500,mg/kg,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (soil compartment),chronic/long term toxicity,Folsomia candida,Not reported,,NOEC,=,500,mg/kg,not reported,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (soil compartment),chronic/long term toxicity,Hypoaspis aculeifer,Not reported,,NOEC,=,12.5,mg/kg,not reported,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (soil compartment),chronic/long term toxicity,Tiger worm,Not reported,56,NOEC,=,5,mg/kg,not reported,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,=,2.12,mg/L,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),acute toxicity,Eastern oyster,Not reported,4,EC50,>,1.21,mg/L,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),acute toxicity,Mysid shrimp,Not reported,4,LC50,>,1.3,mg/L,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),acute toxicity,Pseudokirchneriella subcapitata,Not reported,4,EC50,>,0.245,mg/L,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),acute toxicity,Sheepshead minnow,Not reported,4,LC50,>,1.33,mg/L,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),chronic/long term toxicity,Chironomus tentans,Not reported,28,NOEC,=,89.3,mg/kg,not reported,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,0.144,mg/L,not reported,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),chronic/long term toxicity,Eurasian watermilfoil,Not reported,14,EC50,=,0.000149,mg/L,mortality,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),chronic/long term toxicity,Harlequin fly,Not reported,28,NOEC,=,1.26,mg/L,not reported,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),chronic/long term toxicity,Mysid shrimp,Not reported,28,NOEC,=,0.152,mg/L,not reported,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),chronic/long term toxicity,Sheepshead minnow,Not reported,28,NOEC,=,0.0115,mg/L,not reported,
Halauxifen-methyl,EFSA,2014,2751,Ecotox (water compartment),chronic/long term toxicity,Swollen duckweed,Not reported,7,EC50,=,2.13,mg/L,mortality,
Halauxifen-methyl,EFSA,2014,2751,Human health,reproduction toxicity,Rabbit,Not reported,,NOAEL,=,5.78,mg/kg bw/day,organ weights,hepatotoxicity
Halauxifen-methyl formulation (GF-2573),EFSA,2014,2751,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
Halauxifen-methyl formulation (GF-2573),EFSA,2014,2751,Animal (non-target species) health,acute toxicity,Rat,Not reported,,LD50,>,5000,mg/kg bw,mortality,systemic
Halofuginone hydrobromide,EFSA CONTAM,2008,95,Animal (non-target species) health,not reported,Common quail,Not reported,,dose level,=,3,mg/kg,food consumption,systemic
Halofuginone hydrobromide,EFSA CONTAM,2008,95,Animal (non-target species) health,not reported,Goose,oral: feed,,dose level,=,3,mg/kg,mortality,systemic
Halofuginone hydrobromide,EFSA CONTAM,2008,95,Animal (non-target species) health,not reported,Partridge,Not reported,,dose level,=,3,mg/kg,mortality,systemic
Halofuginone hydrobromide,EFSA CONTAM,2008,95,Animal (non-target species) health,not reported,Rabbit,Not reported,,dose level,=,3,mg/kg,food consumption,systemic
Halofuginone hydrobromide,EFSA CONTAM,2008,95,Human health,reproduction toxicity,Rabbit,Not reported,,NOEL,=,0.03,mg/kg bw/day,body weight,reproductive
Halofuginone hydrobromide,EFSA FEEDAP,2004,266,Animal (target species) health,chronic/long term toxicity,Turkey,oral: feed,140,dose level,=,9,mg/kg,body weight,systemic
Halofuginone hydrobromide,EFSA FEEDAP,2004,266,Animal (target species) health,subchronic,Chicken,oral: feed,56,dose level,=,6,mg/kg,haematology,hemopoietic
Haloxyfop-P,EFSA,2006,1095,Animal (non-target species) health,acute toxicity,Bird,oral: unspecified,,LD50,=,414,mg/kg bw,mortality,systemic
Haloxyfop-P,EFSA,2006,1095,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>=,300,mg/kg bw,mortality,systemic
Haloxyfop-P,EFSA,2006,1095,Animal (non-target species) health,chronic/long term toxicity,Mammalian cell line,Not reported,,NOAEL,=,1,mg/kg bw/day,not reported,not reported
Haloxyfop-P,EFSA,2006,1095,Animal (non-target species) health,reproduction toxicity,Bird,Not reported,,NOEC,ca.,17.1,mg/kg bw/day,not reported,not reported
Haloxyfop-P,EFSA,2006,1095,Animal (non-target species) health,short-term toxicity,Unspecified,oral: feed,,LC50,>,1106,mg/kg bw/day,mortality,systemic
Haloxyfop-P,EFSA,2006,1095,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,2,LD50,>,100,µg/piece,mortality,
Haloxyfop-P,EFSA,2006,1095,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,14,LC50,=,830,mg/kg,mortality,
Haloxyfop-P,EFSA,2006,1095,Ecotox (soil compartment),chronic/long term toxicity,Tiger worm,Not reported,,NOEC,=,810,g/ha,reproduction,
Haloxyfop-P,EFSA,2006,1095,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,dose level,=,5.7,g/ha,reproduction,
Haloxyfop-P,EFSA,2006,1095,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,dose level,=,108,g/ha,mortality,
Haloxyfop-P,EFSA,2006,1095,Human health,chronic/long term toxicity,Dog,oral: unspecified,365,NOAEL,=,0.5,mg/kg bw/day,not reported,systemic
Haloxyfop-P,EFSA,2006,1095,Human health,chronic/long term toxicity,Rat,Not reported,730,NOAEL,=,0.065,mg/kg bw/day,organ weights,hepatotoxicity
Haloxyfop-P,EFSA,2006,1095,Human health,reproduction toxicity,Rabbit,Not reported,,NOAEL,=,7.5,mg/kg bw/day,mortality,systemic
Haloxyfop-P,EFSA,2006,1095,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,0.065,mg/kg bw/day,body weight,systemic
Haloxyfop-P,EFSA,2009,1197,Animal (non-target species) health,acute toxicity,Bird,oral: unspecified,,LD50,=,414,mg/kg bw,mortality,systemic
Haloxyfop-P,EFSA,2009,1197,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,=,300,mg/kg bw,mortality,systemic
Haloxyfop-P,EFSA,2009,1197,Animal (non-target species) health,chronic/long term toxicity,Mammalian cell line,Not reported,,NOAEL,=,1,mg/kg bw/day,not reported,not reported
Haloxyfop-P,EFSA,2009,1197,Animal (non-target species) health,reproduction toxicity,Bird,Not reported,,NOEC,ca.,17.1,mg/kg bw/day,not reported,not reported
Haloxyfop-P,EFSA,2009,1197,Animal (non-target species) health,short-term toxicity,Bird,oral: feed,,LC50,>,1106,mg/kg bw/day,mortality,systemic
Haloxyfop-P,EFSA,2009,1197,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,2,LD50,>,100,µg/piece,mortality,
Haloxyfop-P,EFSA,2009,1197,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,,LC50,=,830,mg/kg,mortality,
Haloxyfop-P,EFSA,2009,1197,Ecotox (soil compartment),chronic/long term toxicity,Aphidius rhopalosiphi,Not reported,,dose level,=,5.7,g/ha,reproduction,
Haloxyfop-P,EFSA,2009,1197,Ecotox (soil compartment),chronic/long term toxicity,Tiger worm,Not reported,,NOEC,=,810,g/ha,not reported,
Haloxyfop-P,EFSA,2009,1197,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,dose level,=,108,g/ha,mortality,
Haloxyfop-P,EFSA,2009,1197,Ecotox (water compartment),acute toxicity,Bluegill,Not reported,4,LC50,=,0.0884,mg/L,mortality,
Haloxyfop-P,EFSA,2009,1197,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,>,12.3,mg/L,mobility,
Haloxyfop-P,EFSA,2009,1197,Ecotox (water compartment),chronic/long term toxicity,Common duckweed,Not reported,14,EC50,=,3.1,mg/L,biomass,
Haloxyfop-P,EFSA,2009,1197,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,0.509,mg/L,reproduction,
Haloxyfop-P,EFSA,2009,1197,Ecotox (water compartment),chronic/long term toxicity,Harlequin fly,Not reported,28,NOEC,=,2.5,mg/L,not reported,
Haloxyfop-P,EFSA,2009,1197,Ecotox (water compartment),chronic/long term toxicity,Navicula pelliculosa,Not reported,5,EC50,=,1.72,mg/L,biomass,
Haloxyfop-P,EFSA,2009,1197,Human health,chronic/long term toxicity,Dog,oral: unspecified,365,NOAEL,=,0.5,mg/kg bw/day,organ weights,hepatotoxicity
Haloxyfop-P,EFSA,2009,1197,Human health,chronic/long term toxicity,Rat,Not reported,730,NOAEL,=,0.065,mg/kg bw/day,organ weights,hepatotoxicity
Haloxyfop-P,EFSA,2009,1197,Human health,reproduction toxicity,Rabbit,Not reported,,NOAEL,=,7.5,mg/kg bw/day,reproduction,reproductive
Haloxyfop-P,EFSA,2009,1197,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,0.065,mg/kg bw/day,body weight,systemic
Haloxyfop-P-methyl ester,EFSA,2006,1095,Animal (non-target species) health,acute toxicity,Bird,oral: unspecified,,LD50,=,1159,mg/kg bw/day,mortality,systemic
Haloxyfop-P-methyl ester,EFSA,2006,1095,Ecotox (water compartment),acute toxicity,Bluegill,Not reported,4,LC50,=,0.0884,mg/L,mortality,
Haloxyfop-P-methyl ester,EFSA,2006,1095,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,>,12.3,mg/L,mobility,
Haloxyfop-P-methyl ester,EFSA,2006,1095,Ecotox (water compartment),chronic/long term toxicity,Common duckweed,Not reported,14,EC50,=,3.1,mg/L,biomass,
Haloxyfop-P-methyl ester,EFSA,2006,1095,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,0.509,mg/L,reproduction,
Haloxyfop-P-methyl ester,EFSA,2006,1095,Ecotox (water compartment),chronic/long term toxicity,Harlequin fly,Not reported,28,NOEC,=,2.5,mg/L,not reported,
Haloxyfop-P-methyl ester,EFSA,2006,1095,Ecotox (water compartment),chronic/long term toxicity,Navicula pelliculosa,Not reported,5,EC50,=,1.72,mg/L,biomass,
Haloxyfop-P-methyl ester,EFSA,2006,1095,Ecotox (water compartment),chronic/long term toxicity,Rainbow trout,Not reported,28,NOEC,=,0.0052,mg/L,growth,
Haloxyfop-P-methyl ester,EFSA,2009,1197,Animal (non-target species) health,acute toxicity,Bird,oral: unspecified,,LD50,=,1159,mg/kg bw/day,mortality,systemic
Haloxyfop-P-methyl ester,EFSA,2009,1197,Ecotox (water compartment),chronic/long term toxicity,Rainbow trout,Not reported,28,NOEC,=,0.0052,mg/L,not reported,
Hemp (Cannabis genus),EFSA FEEDAP,2011,284,Human health,study with volunteers,Human,Not reported,,LOEL,=,0.04,mg/kg,neurology,neurotoxicity
Heptachlor,EFSA CONTAM,2007,74,Animal (target species) health,not reported,Chicken,Not reported,,LOAEL,=,0.01,mg/kg bw/day,reproduction,reproductive
Heptachlor,EFSA CONTAM,2007,74,Animal (target species) health,subchronic,Cattle,oral: feed,,NOAEL,=,6,mg/kg bw/day,not reported,not reported
Heptachlor,EFSA CONTAM,2007,74,Animal (target species) health,subchronic,Pig,oral: unspecified,78,dose level,=,2,mg/kg bw/day,histopathology non neoplastic,hepatotoxicity
Heptachlor epoxide,EFSA CONTAM,2007,74,Animal (target species) health,chronic/long term toxicity,Chicken,oral: feed,175,NOAEL,=,0.002,mg/kg bw/day,development,developmental
Heptachlor epoxide,EFSA CONTAM,2007,74,Animal (target species) health,chronic/long term toxicity,Dog,oral: feed,730,NOAEL,=,0.025,mg/kg bw/day,clinical chemistry,hepatotoxicity
Heptachlor epoxide,EFSA CONTAM,2007,74,Animal (target species) health,subchronic,Cattle,oral: feed,,NOAEL,=,1.5,mg/kg bw/day,not reported,not reported
Heptamaloxyloglucan,EFSA,2009,1191,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw/day,mortality,systemic
Heptamaloxyloglucan,EFSA,2009,1191,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,,LD50,>,100,µg/piece,mortality,
Heptamaloxyloglucan,EFSA,2009,1191,Ecotox (soil compartment),not reported,White mustard,Not reported,,ER50,>,20,g/ha,other,
Heptamaloxyloglucan,EFSA,2009,1191,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,>,150,mg/L,mortality,
Heptamaloxyloglucan,EFSA,2009,1191,Ecotox (water compartment),acute toxicity,Rainbow trout,Not reported,4,EC50,>,150,mg/L,mortality,
Heptamaloxyloglucan,EFSA,2009,1191,Ecotox (water compartment),acute toxicity,Scenedesmus subspicatus,Not reported,3,EC50,>,150,mg/L,biomass,
Heptan-2-one,EFSA FEEDAP,2015,2700,Animal (target species) health,subchronic,Rat,oral: gavage,91,NOAEL,=,20,mg/kg bw/day,organ weights,nephrotoxicity
Heptan-2-thiol,EFSA CEF,2010,2042,Human health,subchronic,Rat,Not reported,90,NOEL,=,0.56,mg/kg bw/day,not reported,not reported
Heptan-2-thiol,EFSA CEF,2011,2121,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,0.06,mg/kg bw/day,not reported,not reported
Heptan-2-thiol,EFSA CEF,2014,2496,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,0.06,mg/kg bw/day,not reported,not reported
Heptane-1-thiol,EFSA CEF,2010,2042,Human health,subchronic,Rat,Not reported,90,NOEL,=,0.56,mg/kg bw/day,not reported,not reported
Heptane-1-thiol,EFSA CEF,2011,2121,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,0.06,mg/kg bw/day,not reported,not reported
Heptane-1-thiol,EFSA CEF,2014,2496,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,0.06,mg/kg bw/day,not reported,not reported
"Heptano-1,4-lactone",EFSA FEEDAP,2012,616,Human health,chronic/long term toxicity,Rat,oral: gavage,730,NOAEL,=,112,mg/kg bw/day,mortality,systemic
Heptyl acetate,EFSA FEEDAP,2013,2209,Animal (target species) health,subchronic,Rat,oral: gavage,90,NOAEL,=,900,mg/kg bw/day,body weight,systemic
Hex-2(trans)-enal,EFSA FAF,2020,3382,Human health,subchronic,Rat,oral: feed,91,NOAEL,=,257,mg/kg bw/day,no adverse effect observed at single/highest dose,
Hex-2(trans)-enal,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Cattle,oral: feed,42,dose level,=,50,mg/kg,no adverse effect observed at single/highest dose,
Hex-2(trans)-enal,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36,dose level,=,50,mg/kg,no adverse effect observed at single/highest dose,
Hex-2(trans)-enal,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Pig,oral: feed,42,dose level,=,50,mg/kg,no adverse effect observed at single/highest dose,
Hex-2-en-1-ol,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Cattle,oral: feed,42,dose level,=,50,mg/kg,no adverse effect observed at single/highest dose,
Hex-2-en-1-ol,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Chicken,oral: feed,36,dose level,=,50,mg/kg,no adverse effect observed at single/highest dose,
Hex-2-en-1-ol,EFSA FEEDAP,2020,3818,Animal (target species) health,subchronic,Pig,oral: feed,42,dose level,=,50,mg/kg,no adverse effect observed at single/highest dose,
Hex-3(cis)-en-1-ol,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
Hex-3(cis)-enal,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
Hex-3(cis)-enyl acetate,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
Hex-3(cis)-enyl formate,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
Hex-3(cis)-enyl isobutyrate,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
Hex-3-enyl butyrate,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
Hex-3-enyl hexanoate,EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: drinking water,98,NOAEL,=,127,mg/kg bw/day,other,systemic
Hex-3-enyl-2-ethylbutyrate,EFSA AFC,2004,2025,Human health,reproduction toxicity,Rat,oral: gavage,10,NOAEL,=,200,mg/kg bw/day,no adverse effect observed at single/highest dose,
Hex-3-enyl-2-ethylbutyrate,EFSA AFC,2008,2240,Human health,reproduction toxicity,Rat,oral: gavage,10,NOAEL,=,200,mg/kg bw/day,no adverse effect observed at single/highest dose,
Hex-3-enyl-2-ethylbutyrate,EFSA CEF,2011,2068,Human health,reproduction toxicity,Rat,oral: gavage,10,NOAEL,=,200,mg/kg bw/day,no adverse effect observed at single/highest dose,
Hex-3-enyl-2-ethylbutyrate,EFSA CEF,2011,2114,Human health,reproduction toxicity,Rat,oral: gavage,10,NOAEL,=,200,mg/kg bw/day,no adverse effect observed at single/highest dose,
Hex-3-enyl-2-ethylbutyrate,EFSA CEF,2013,2180,Human health,reproduction toxicity,Rat,oral: gavage,10,NOAEL,=,200,mg/kg bw/day,no adverse effect observed at single/highest dose,
"Hexa-2(trans),4(trans)-dienal",EFSA FEEDAP,2019,3186,Animal (target species) health,subchronic,Rat,oral: gavage,98,NOAEL,=,15,mg/kg bw/day,body weight,systemic
Hexabromocyclododecane,EFSA CONTAM,2011,82,Human health,acute toxicity,Mouse,oral: gavage,,BMDL10,=,0.93,mg/kg bw,behaviour,developmental
Hexabromocyclododecane,EFSA CONTAM,2021,3935,Human health,acute toxicity,Mouse,oral: gavage,,LOAEL,=,0.9,mg/kg bw/day,behaviour,systemic
Hexachlorobenzene,EFSA CONTAM,2006,72,Animal (target species) health,chronic/long term toxicity,Dog,oral: capsule,365,LOAEL,=,0.1,mg/kg bw/day,histopathology non neoplastic,systemic
Hexachlorobenzene,EFSA CONTAM,2006,72,Animal (target species) health,reproduction toxicity,American mink,oral: feed,,LOAEL,=,0.05,mg/kg bw/day,mortality,developmental
Hexachlorobenzene,EFSA CONTAM,2006,72,Animal (target species) health,reproduction toxicity,Cat,oral: feed,142,NOAEL,=,1,mg/kg bw/day,mortality,developmental
Hexachlorobenzene,EFSA CONTAM,2006,72,Animal (target species) health,subchronic,Chicken,oral: feed,,NOAEL,=,1,mg/kg bw/day,histopathology non neoplastic,hepatotoxicity
Hexachlorobenzene,EFSA CONTAM,2006,72,Animal (target species) health,subchronic,Chicken,oral: feed,84,LOAEL,=,8,mg/kg bw/day,clinical chemistry,hepatotoxicity
Hexachlorobenzene,EFSA CONTAM,2006,72,Animal (target species) health,subchronic,Common quail,oral: feed,90,NOAEL,=,0.06,mg/kg bw/day,histopathology non neoplastic,hepatotoxicity
Hexachlorobenzene,EFSA CONTAM,2006,72,Animal (target species) health,subchronic,Pig,oral: feed,91,NOAEL,=,0.05,mg/kg bw/day,clinical chemistry,hepatotoxicity
Hexachlorobenzene,EFSA CONTAM,2006,72,Animal (target species) health,subchronic,Sheep,oral: feed,90,NOEL,=,0.004,mg/kg bw/day,clinical chemistry,hepatotoxicity
Hexachlorobenzene,EFSA CONTAM,2006,72,Human health,chronic/long term toxicity,Rat,Not reported,,T5,=,0.81,mg/kg bw/day,histopathology neoplastic,hepatotoxicity
Hexachlorocyclohexane,EFSA CONTAM,2005,67,Animal (target species) health,chronic/long term toxicity,Dog,oral: feed,730,NOAEL,=,1.6,mg/kg bw/day,clinical chemistry,systemic
Hexachlorocyclohexane,EFSA CONTAM,2005,67,Animal (target species) health,chronic/long term toxicity,Sheep,oral: feed,180,dose level,=,1.25,mg/kg,immunology,immunotoxicity
Hexachlorocyclohexane,EFSA CONTAM,2005,67,Animal (target species) health,short-term toxicity,Chicken,oral: feed,27,NOAEL,=,4,mg/kg,organ weights,hepatotoxicity
Hexachlorocyclohexane,EFSA CONTAM,2005,67,Animal (target species) health,subchronic,Chicken,oral: feed,60,NOAEL,=,10,mg/kg,no adverse effect observed at single/highest dose,
Hexachlorocyclohexane,EFSA CONTAM,2005,67,Animal (target species) health,subchronic,Chicken,oral: feed,90,dose level,=,38,mg/kg bw/day,no adverse effect observed,
"Hexan-3,4-dione",EFSA FEEDAP,2016,2887,Animal (target species) health,subchronic,Rat,oral: gavage,90,NOAEL,=,90,mg/kg bw/day,mortality,systemic
"Hexano-1,4-lactone",EFSA FEEDAP,2012,616,Human health,chronic/long term toxicity,Rat,oral: gavage,730,NOAEL,=,112,mg/kg bw/day,mortality,systemic
Hexyl 2-furoate,EFSA AFC,2009,2265,Human health,subchronic,Rat,oral: feed,91,NOEL,=,53,mg/kg bw/day,not reported,not reported
Hexyl 2-furoate,EFSA CEF,2011,2111,Human health,subchronic,Rat,oral: feed,91,NOEL,=,53,mg/kg bw/day,not reported,not reported
Hexyl 3-mercaptobutanoate,EFSA CEF,2010,2042,Human health,subchronic,Rat,Not reported,90,NOEL,=,0.7,mg/kg bw/day,not reported,not reported
Hexyl 3-mercaptobutanoate,EFSA CEF,2011,2121,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,0.06,mg/kg bw/day,not reported,not reported
Hexyl 3-mercaptobutanoate,EFSA CEF,2014,2496,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,0.06,mg/kg bw/day,not reported,not reported
Hexyl acetate,EFSA FEEDAP,2013,2209,Animal (target species) health,subchronic,Rat,oral: gavage,90,NOAEL,=,900,mg/kg bw/day,body weight,systemic
Hexyl salicylate,EFSA FEEDAP,2012,607,Human health,subchronic,Rat,oral: unspecified,91,NOAEL,=,5,mg/kg bw/day,body weight,systemic
Hexythiazox,EFSA,2010,1240,Animal (non-target species) health,acute toxicity,Dog,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
Hexythiazox,EFSA,2010,1240,Animal (non-target species) health,acute toxicity,Mallard duck,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
Hexythiazox,EFSA,2010,1240,Animal (non-target species) health,acute toxicity,Mouse,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
Hexythiazox,EFSA,2010,1240,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,5000,mg/kg bw,mortality,systemic
Hexythiazox,EFSA,2010,1240,Animal (non-target species) health,chronic/long term toxicity,Rat,Not reported,,NOEL,=,23.5,mg/kg bw/day,not reported,not reported
Hexythiazox,EFSA,2010,1240,Animal (non-target species) health,reproduction toxicity,Bobwhite quail,Not reported,,NOEC,=,100,mg/kg bw/day,not reported,not reported
Hexythiazox,EFSA,2010,1240,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LC50,>,523,mg/kg bw/day,mortality,systemic
Hexythiazox,EFSA,2010,1240,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,,LD50,>,200,µg/piece,mortality,
Hexythiazox,EFSA,2010,1240,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,2,LD50,>,112.2,µg/piece,mortality,
Hexythiazox,EFSA,2010,1240,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,14,LC50,>,105,mg/kg,mortality,
Hexythiazox,EFSA,2010,1240,Ecotox (soil compartment),acute toxicity,Wild cabbage,Not reported,14,ER50,>,750,g/ha,other,
Hexythiazox,EFSA,2010,1240,Ecotox (soil compartment),not reported,Aphidius matricariae,Not reported,,LR50,>,157.5,g/ha,mortality,
Hexythiazox,EFSA,2010,1240,Ecotox (soil compartment),not reported,Aphidius matricariae,Not reported,,dose level,=,157.5,g/ha,reproduction,
Hexythiazox,EFSA,2010,1240,Ecotox (water compartment),acute toxicity,Bluegill,Not reported,4,LC50,=,3.2,mg/L,mortality,
Hexythiazox,EFSA,2010,1240,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,=,0.36,mg/L,mortality,
Hexythiazox,EFSA,2010,1240,Ecotox (water compartment),acute toxicity,Scenedesmus subspicatus,Not reported,3,EC50,>,0.4,mg/L,biomass,
Hexythiazox,EFSA,2010,1240,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,0.0061,mg/L,reproduction,
Hexythiazox,EFSA,2010,1240,Ecotox (water compartment),chronic/long term toxicity,Harlequin fly,Not reported,21,NOEC,=,1.7,mg/L,other,
Hexythiazox,EFSA,2010,1240,Ecotox (water compartment),chronic/long term toxicity,Rainbow trout,Not reported,28,NOEC,=,0.04,mg/L,growth,
Hexythiazox,EFSA,2010,1240,Human health,chronic/long term toxicity,Dog,oral: unspecified,365,NOAEL,=,2.87,mg/kg bw/day,histopathology non neoplastic,endocrine
